Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 19:33:00;;;;;;100642;24,4947;30,1612;373,781;1,59262;1,76213;1,45797;1,69606;0,327856
2017-03-27 19:34:00;;;;;;100644;24,49;30,1781;366;1,59254;1,76274;1,45701;1,69666;0,327625
2017-03-27 19:35:00;;;;;;100644;24,4925;30,1753;375,156;1,58713;1,75885;1,43486;1,68558;0,327875
2017-03-27 19:36:00;;;;;;100644;24,4781;30,18;371,75;1,58996;1,76072;1,446;1,69079;0,327606
2017-03-27 19:37:00;;;;;;100643;24,4631;30,195;376,469;1,59194;1,76216;1,45796;1,69599;0,32785
2017-03-27 19:38:00;;;;;;100642;24,4541;30,18;378,25;1,59847;1,76325;1,49411;1,7135;0,328184
2017-03-27 19:39:00;;;;;;100644;24,4631;30,2037;368,375;1,5925;1,76181;1,46255;1,69862;0,328156
2017-03-27 19:40:00;;;;;;100642;24,4594;30,2213;368,625;1,59025;1,76082;1,44237;1,6885;0,328469
2017-03-27 19:41:00;;;;;;100641;24,4669;30,255;370,219;1,58914;1,76029;1,44368;1,6899;0,32885
2017-03-27 19:42:00;;;;;;100642;24,4569;30,23;367,25;1,59183;1,76158;1,45733;1,69578;0,32905
2017-03-27 19:43:00;;;;;;100643;24,4688;30,1975;375,125;1,59217;1,7623;1,45408;1,69372;0,329019
2017-03-27 19:44:00;;;;;;100641;24,4709;30,2;375,531;1,59105;1,76157;1,45464;1,69489;0,329847
2017-03-27 19:45:00;;;;;;100645;24,46;30,2275;369,875;1,59572;1,76299;1,47819;1,70668;0,330256
2017-03-27 19:46:00;;;;;;100642;24,4506;30,2188;368,375;1,60087;1,76406;1,50158;1,71669;0,330166
2017-03-27 19:47:00;;;;;;100642;24,4556;30,36;372,188;1,60072;1,76464;1,49994;1,71648;0,3301
2017-03-27 19:48:00;;;;;;100641;24,4209;30,3112;383,531;1,59282;1,76242;1,45967;1,69717;0,330356
2017-03-27 19:49:00;;;;;;100643;24,4156;30,295;365,625;1,60263;1,76423;1,50856;1,72059;0,3305
2017-03-27 19:50:00;;;;;;100643;24,4016;30,295;374,562;1,6013;1,76377;1,50357;1,71815;0,330084
2017-03-27 19:51:00;;;;;;100642;24,4;30,2475;372,75;1,59899;1,76323;1,49539;1,71343;0,330231
2017-03-27 19:52:00;;;;;;100643;24,3961;30,185;374,875;1,59887;1,76312;1,49607;1,71401;0,329953
2017-03-27 19:53:00;;;;;;100642;24,4106;30,19;371,312;1,60144;1,76407;1,51025;1,72145;0,329756
2017-03-27 19:54:00;;;;;;100640;24,4131;30,18;372,406;1,60245;1,76445;1,50829;1,72036;0,329797
2017-03-27 19:55:00;;;;;;100641;24,3991;30,24;377,844;1,59802;1,76347;1,49356;1,7128;0,330378
2017-03-27 19:56:00;;;;;;100642;24,3878;30,2488;372,875;1,5989;1,76345;1,49386;1,71346;0,3307
2017-03-27 19:57:00;;;;;;100643;24,3741;30,2687;374,5;1,59684;1,7633;1,48448;1,70902;0,330869
2017-03-27 19:58:00;;;;;;100643;24,3775;30,285;367,844;1,60062;1,76359;1,50387;1,71749;0,331612
2017-03-27 19:59:00;;;;;;100647;24,3738;30,2925;379,375;1,60593;1,76543;1,52059;1,72679;0,331813
2017-03-27 20:00:00;;;;;;100644;24,3762;30,3637;367,938;1,60512;1,76509;1,51829;1,72482;0,332578
2017-03-27 20:01:00;;;;;;100646;24,3713;30,3525;374,188;1,60329;1,76445;1,51341;1,72349;0,332719
2017-03-27 20:02:00;;;;;;100644;24,3675;30,2687;375,688;1,60573;1,76517;1,52081;1,7263;0,333444
2017-03-27 20:03:00;;;;;;100643;24,3488;30,3847;368,594;1,60323;1,7643;1,51065;1,72118;0,334345
2017-03-27 20:04:00;;;;;;100644;24,3531;30,3478;373,594;1,59796;1,76346;1,49227;1,71242;0,334838
2017-03-27 20:05:00;;;;;;100644;24,3472;30,2475;371,906;1,5929;1,76205;1,4625;1,69837;0,335566
2017-03-27 20:06:00;;;;;;100643;24,3319;30,3831;374,531;1,58704;1,75887;1,43749;1,68571;0,335828
2017-03-27 20:07:00;;;;;;100639;24,3378;30,3294;369,125;1,59572;1,76304;1,47802;1,70624;0,336188
2017-03-27 20:08:00;;;;;;100640;24,3397;30,3253;373,906;1,59466;1,76274;1,47596;1,70469;0,336025
2017-03-27 20:09:00;;;;;;100641;24,3406;30,2109;377,969;1,5946;1,76291;1,47723;1,70608;0,336706
2017-03-27 20:10:00;;;;;;100643;24,3431;30,2075;371,375;1,6028;1,76461;1,49933;1,71644;0,336931
2017-03-27 20:11:00;;;;;;100639;24,3431;30,2203;363,061;1,59785;1,76342;1,49002;1,71189;0,337159
2017-03-27 20:12:00;;;;;;100640;24,3206;30,2181;370,75;1,59881;1,76298;1,4926;1,71277;0,337456
2017-03-27 20:13:00;;;;;;100640;24,32;30,2734;373,438;1,5982;1,76298;1,49422;1,71384;0,33825
2017-03-27 20:14:00;;;;;;100642;24,3187;30,2119;369,312;1,60603;1,76566;1,52285;1,72676;0,338969
2017-03-27 20:15:00;;;;;;100641;24,3084;30,3375;370,406;1,59867;1,76318;1,49146;1,71163;0,339972
2017-03-27 20:16:00;;;;;;100639;24,3094;30,24;377,688;1,60191;1,76401;1,50448;1,71773;0,341019
2017-03-27 20:17:00;;;;;;100641;24,2772;30,3884;372,656;1,60058;1,7635;1,50066;1,71729;0,341722
2017-03-27 20:18:00;;;;;;100642;24,2881;30,3831;368,545;1,60612;1,76487;1,52184;1,72663;0,342525
2017-03-27 20:19:00;;;;;;100641;24,3;30,2775;371,25;1,61206;1,76918;1,54439;1,73789;0,343294
2017-03-27 20:20:00;;;;;;100641;24,2869;30,24;377,062;1,59414;1,76276;1,4689;1,70155;0,343697
2017-03-27 20:21:00;;;;;;100638;24,2769;30,2525;382,625;1,58307;1,75549;1,41711;1,67683;0,344206
